"","Continent","Year","Meningitis","Alzheimer_Disease_and_Other_Dementias","Parkinsons_Disease","Nutritional_Deficiencies","Malaria","Drowning","Interpersonal_Violence","Maternal_Disorders","HIV_AIDS","Drug_Use","Tuberculosis","Cardiovascular_Diseases","Lower_Respiratory_Infections","Neonatal_Disorders","Alcohol_Use","Self_Harm","Exposure_to_Nature","Diarrheal_Diseases","Environmental_Exposure","Neoplasms","Conflicts_and_Terrorism","Diabetes","Chronic_Kidney_Disease","Poisonings","Protein_Malnutrition","Road_Injuries","Chronic_Respiratory_Diseases","Cirrhosis","Digestive_Diseases","Fire","Acute_Hepatitis"
"1","Africa",1990,181275,31968,8647,229824,597539,33169,51729,87234,265823,1376,439411,907631,871489,739139,4406,46022,327,1016948,4604,302947,82573,86342,82730,19479,222071,179669,153677,166965,256441,24814,25508
"2","Africa",1991,182419,33120,8898,229486,616241,33139,54634,87424,343932,1451,444970,925649,873660,745768,4514,47028,575,1035113,4685,310911,43022,88733,84766,19461,221758,180807,156138,169178,260243,24844,25468
"3","Africa",1992,186422,34375,9188,230738,629652,33218,61563,88349,434555,1559,452552,947903,880584,754088,4646,48706,582,1021304,4806,320322,14442,91887,87195,19734,223011,185097,159059,171966,265070,25216,25490
"4","Africa",1993,187258,35606,9489,230356,648367,33204,64999,88632,536236,1615,457708,970255,883438,763713,4713,49335,173,1015242,4863,327367,20816,94305,89269,19771,222663,186547,161451,174701,269360,25292,25501
"5","Africa",1994,186856,36891,9813,229094,660736,33151,60405,89485,646144,1700,467114,994128,888132,773399,4826,50761,1775,1033563,4959,336601,533642,97779,91686,19870,221442,189571,164781,177643,274158,25526,25684
"6","Africa",1995,188876,38089,10089,227011,678938,32955,60810,89468,761082,1774,476757,1012597,892276,784238,4932,51973,1153,1022269,5082,344623,30402,100613,93566,19886,219418,191292,167472,179781,277970,25535,25905
"7","Africa",1996,204232,39398,10397,223723,698465,32560,62570,90265,876523,1837,481753,1036603,890333,793859,5041,52965,503,1022575,5164,354092,60992,104878,95924,19823,216222,192414,170706,182242,282164,25462,26015
"8","Africa",1997,194010,40725,10772,220443,718707,32713,64116,91435,990313,1955,485057,1066048,891379,805044,5209,55306,3254,1016944,5207,366481,75560,110329,98869,20039,213041,197040,174478,185792,287843,25815,26209
"9","Africa",1998,194020,42042,11099,217650,737083,32502,67055,93461,1101467,2035,490756,1088497,892403,816277,5312,57214,378,1012456,5306,375803,80391,114202,101322,20080,210338,200134,177378,189272,293577,26094,26418
"10","Africa",1999,197032,43306,11351,213972,753993,32347,69929,95355,1203938,2097,493483,1105039,893334,825972,5341,58346,744,1000765,5357,382868,104983,116803,103238,20162,206847,202510,178430,192365,298743,26068,26515
"11","Africa",2000,198342,44762,11654,208415,774754,32193,72440,96648,1294357,2172,500324,1115640,894362,834658,5390,59819,1441,984787,5431,390919,89503,120251,105428,20324,201622,205290,180128,194465,302696,26306,26639
"12","Africa",2001,199400,46198,12036,200902,804576,31935,71610,98105,1369638,2214,498931,1134127,887830,842697,5403,60722,1647,968072,5465,398582,33264,123506,107995,20214,194503,207166,181998,198428,307861,26338,26630
"13","Africa",2002,199605,48125,12574,195246,813451,31955,74739,100472,1429663,2277,496263,1158051,885632,852408,5471,62077,841,945650,5595,408991,41558,127650,111286,20386,189165,210182,185047,202786,314259,26542,26067
"14","Africa",2003,203107,49820,13071,187322,843565,31964,74120,103368,1472897,2334,494164,1182115,878728,862631,5565,63578,2876,918855,5636,420348,39652,132085,114684,20490,181509,213722,188266,207683,321066,26615,25541
"15","Africa",2004,201569,51621,13466,180225,848275,31800,75248,105794,1490849,2377,488338,1195053,869807,871821,5660,64546,1628,893903,5631,430865,34197,135697,117166,20610,174662,215696,190107,210971,326077,26820,25016
"16","Africa",2005,202209,53445,13847,175680,837909,32068,74270,107182,1469855,2427,479653,1205450,860643,882405,5734,65143,512,875393,5666,440847,19808,139322,119153,20770,170327,216948,191545,213446,330002,27077,24655
"17","Africa",2006,204616,55430,14327,169582,840009,32347,75303,107979,1408469,2488,476207,1225645,859075,888041,5835,65901,1524,873093,5728,453131,9612,144095,121971,20994,164402,219516,194025,215443,334795,27401,24113
"18","Africa",2007,203582,57105,14684,162786,840590,32185,74617,108428,1319453,2562,469736,1240982,850192,892355,5920,66244,1048,857057,5781,463295,9238,147544,124052,21036,157797,220386,194934,217251,338737,27569,23072
"19","Africa",2008,197644,59181,15216,155484,836262,31618,74744,108250,1220021,2664,463192,1266080,835714,892846,6020,66926,836,835649,5767,476062,14155,151860,126989,20929,150664,221240,196825,220205,343720,27474,22006
"20","Africa",2009,195542,61154,15719,148810,824995,31422,76858,108675,1131103,2773,457098,1294003,823996,891895,6167,67847,724,818412,5795,491761,21699,156918,130702,20888,144098,222578,199224,224206,350066,27499,21241
"21","Africa",2010,190295,63254,16228,152808,806963,30996,76173,108387,1059198,2845,448060,1317234,809790,889092,6297,68553,1342,794259,5788,506507,10889,161880,134112,20992,147854,223171,201391,228155,355855,27452,20709
"22","Africa",2011,180722,65516,16744,148622,767180,30531,77306,108063,991705,2941,438902,1341703,795533,886031,6459,69014,814,769297,5758,521538,18930,166427,137224,20742,143737,223936,203362,231047,361845,27368,20323
"23","Africa",2012,176873,67792,17319,134199,730909,30387,76935,106680,920410,3038,433436,1375600,788486,880418,6619,69855,1035,745322,5766,537973,13862,171427,141076,20831,129675,225728,206154,235029,369152,27510,19978
"24","Africa",2013,168873,70017,17924,130808,699261,30034,78870,105345,857484,3137,431374,1405825,784392,874373,6799,70604,975,727928,5811,554563,23784,175875,144961,20863,126307,225448,209136,237435,374949,27656,19636
"25","Africa",2014,165636,71997,18380,127523,661667,29982,82155,104019,810186,3267,431445,1437015,781115,865913,6975,71759,574,711686,5881,571998,34794,181541,149634,20941,123037,227437,211911,240899,381383,27858,19337
"26","Africa",2015,157940,74371,19053,124335,637768,29627,81660,101943,774864,3372,428206,1484430,775486,855554,7122,72655,1175,692873,6024,589605,30912,187848,154662,20881,119854,230488,215048,244733,387738,28128,18985
"27","Africa",2016,157494,76553,19522,122277,611258,29392,81827,100962,749140,3500,421051,1513243,766100,845323,7260,73747,1211,679917,5911,606253,21727,192958,158623,20906,117777,231059,217452,249473,395455,28095,18741
"28","Africa",2017,154886,79195,20008,119563,584956,28662,84584,100009,713838,3646,411247,1540602,747908,829512,7439,75294,2590,669725,5886,623543,25729,196913,161637,20792,115049,232773,219992,255465,404047,28006,18532
"29","Africa",2018,149551,82055,20648,113244,584772,28087,87071,99291,667231,3811,401833,1572451,732010,816285,7632,77287,1068,635578,5864,641628,22432,200546,165212,20705,108808,234632,222606,260192,409983,28030,18140
"30","Africa",2019,146250,84950,21294,108317,596576,27424,83883,98873,642333,3956,395225,1606595,720004,803006,7824,79000,1642,609917,5855,659877,13042,205317,168965,20583,103933,236135,225676,265174,416342,28015,17880
"31","Asia",1990,182933,126089,37113,423535,232405,206301,99744,180698,4491,7881,1077806,3259305,1426211,1694187,22878,258707,47369,1649045,14412,1319379,26437,242064,248810,23464,339042,385226,1068566,400237,721898,47274,111764
"32","Asia",1991,179775,131319,38351,397442,229989,203265,99398,178956,7352,8161,1091488,3334225,1405302,1672293,23624,264691,152133,1650615,14870,1353849,27092,250295,256447,23498,315321,393684,1091381,405859,731838,47672,111680
"33","Asia",1992,176370,136930,39657,373255,214699,200196,103686,180878,12221,8462,1111271,3420296,1389912,1658330,24288,270955,9050,1650918,15089,1393134,30970,259788,264940,23510,294395,400033,1113908,412329,743447,47967,111509
"34","Asia",1993,171962,142964,41019,350907,203823,198122,106326,176445,19816,8875,1079959,3495161,1365551,1640317,25222,274620,17267,1598256,14938,1432713,33087,268680,271962,23207,276238,405445,1131054,421983,757027,48075,111221
