"","country_territory","Code","Road_Injuries"
"1","Afghanistan","AFG",4154
"2","Albania","ALB",395
"3","Algeria","DZA",13438
"4","American Samoa","ASM",5
"5","Andorra","AND",8
"6","Angola","AGO",5062
"7","Antigua and Barbuda","ATG",6
"8","Argentina","ARG",4361
"9","Armenia","ARM",551
"10","Australia","AUS",2739
"11","Austria","AUT",1423
"12","Azerbaijan","AZE",1108
"13","Bahamas","BHS",57
"14","Bahrain","BHR",110
"15","Bangladesh","BGD",7884
"16","Barbados","BRB",35
"17","Belarus","BLR",2506
"18","Belgium","BEL",2100
"19","Belize","BLZ",34
"20","Benin","BEN",1053
"21","Bermuda","BMU",13
"22","Bhutan","BTN",75
"23","Bolivia","BOL",1907
"24","Bosnia and Herzegovina","BIH",272
"25","Botswana","BWA",270
"26","Brazil","BRA",44236
"27","Brunei","BRN",75
"28","Bulgaria","BGR",1503
"29","Burkina Faso","BFA",2565
"30","Burundi","BDI",1348
"31","Cambodia","KHM",2526
"32","Cameroon","CMR",2434
"33","Canada","CAN",4282
"34","Cape Verde","CPV",24
"35","Central African Republic","CAF",1438
"36","Chad","TCD",1117
"37","Chile","CHL",2104
"38","Colombia","COL",6833
"39","Comoros","COM",100
"40","Congo","COG",942
"41","Cook Islands","COK",6
"42","Costa Rica","CRI",512
"43","Cote d'Ivoire","CIV",1921
"44","Croatia","HRV",1005
"45","Cuba","CUB",2520
"46","Cyprus","CYP",173
"47","Czechia","CZE",1527
"48","Democratic Republic of Congo","COD",20193
"49","Denmark","DNK",761
"50","Djibouti","DJI",62
"51","Dominica","DMA",15
"52","Dominican Republic","DOM",1517
"53","Ecuador","ECU",2488
"54","Egypt","EGY",28020
"55","El Salvador","SLV",1434
"56","Equatorial Guinea","GNQ",181
"57","Eritrea","ERI",557
"58","Estonia","EST",429
"59","Ethiopia","ETH",11236
"60","Fiji","FJI",95
"61","Finland","FIN",725
"62","France","FRA",11984
"63","Gabon","GAB",336
"64","Gambia","GMB",120
"65","Georgia","GEO",1313
"66","Germany","DEU",12388
"67","Ghana","GHA",2731
"68","Greece","GRC",2350
"69","Greenland","GRL",5
"70","Grenada","GRD",12
"71","Guam","GUM",20
"72","Guatemala","GTM",998
"73","Guinea","GIN",1416
"74","Guinea-Bissau","GNB",394
"75","Guyana","GUY",152
"76","Haiti","HTI",1068
"77","Honduras","HND",736
"78","Hungary","HUN",2329
"79","Iceland","ISL",30
"80","India","IND",129821
"81","Indonesia","IDN",49320
"82","Iran","IRN",30693
