"","Continent","Year","Tuberculosis"
"1","Africa",1990,439411
"2","Africa",1991,444970
"3","Africa",1992,452552
"4","Africa",1993,457708
"5","Africa",1994,467114
"6","Africa",1995,476757
"7","Africa",1996,481753
"8","Africa",1997,485057
"9","Africa",1998,490756
"10","Africa",1999,493483
"11","Africa",2000,500324
"12","Africa",2001,498931
"13","Africa",2002,496263
"14","Africa",2003,494164
"15","Africa",2004,488338
"16","Africa",2005,479653
"17","Africa",2006,476207
"18","Africa",2007,469736
"19","Africa",2008,463192
"20","Africa",2009,457098
"21","Africa",2010,448060
"22","Africa",2011,438902
"23","Africa",2012,433436
"24","Africa",2013,431374
"25","Africa",2014,431445
"26","Africa",2015,428206
"27","Africa",2016,421051
"28","Africa",2017,411247
"29","Africa",2018,401833
"30","Africa",2019,395225
"31","Asia",1990,1077806
"32","Asia",1991,1091488
"33","Asia",1992,1111271
"34","Asia",1993,1079959
"35","Asia",1994,1054965
"36","Asia",1995,1038709
"37","Asia",1996,1029144
"38","Asia",1997,1043168
"39","Asia",1998,1043201
"40","Asia",1999,1036727
"41","Asia",2000,1025696
"42","Asia",2001,1000371
"43","Asia",2002,973778
"44","Asia",2003,944952
"45","Asia",2004,904506
"46","Asia",2005,893817
"47","Asia",2006,879234
"48","Asia",2007,868164
"49","Asia",2008,859520
"50","Asia",2009,832138
"51","Asia",2010,806608
"52","Asia",2011,788945
"53","Asia",2012,785587
"54","Asia",2013,781285
"55","Asia",2014,772830
"56","Asia",2015,750798
"57","Asia",2016,741712
"58","Asia",2017,737764
"59","Asia",2018,722922
"60","Asia",2019,705209
"61","Europe",1990,29791
"62","Europe",1991,29835
"63","Europe",1992,31481
"64","Europe",1993,36438
"65","Europe",1994,41056
"66","Europe",1995,41809
"67","Europe",1996,40345
"68","Europe",1997,38542
"69","Europe",1998,37633
"70","Europe",1999,40577
"71","Europe",2000,42747
"72","Europe",2001,43698
"73","Europe",2002,45069
"74","Europe",2003,45673
"75","Europe",2004,44574
"76","Europe",2005,46119
"77","Europe",2006,41551
"78","Europe",2007,38590
"79","Europe",2008,36699
"80","Europe",2009,32571
"81","Europe",2010,30813
"82","Europe",2011,27842
"83","Europe",2012,25941
"84","Europe",2013,23962
"85","Europe",2014,22416
"86","Europe",2015,22101
"87","Europe",2016,20453
"88","Europe",2017,19039
"89","Europe",2018,18721
"90","Europe",2019,18451
"91","North_America",1990,16706
"92","North_America",1991,16102
"93","North_America",1992,15702
"94","North_America",1993,14931
"95","North_America",1994,13727
"96","North_America",1995,13019
"97","North_America",1996,12421
"98","North_America",1997,11956
"99","North_America",1998,11248
"100","North_America",1999,10485
"101","North_America",2000,9697
"102","North_America",2001,9200
"103","North_America",2002,8820
"104","North_America",2003,8608
"105","North_America",2004,8240
"106","North_America",2005,8021
"107","North_America",2006,7728
"108","North_America",2007,7540
"109","North_America",2008,7539
"110","North_America",2009,7441
"111","North_America",2010,7246
"112","North_America",2011,7127
"113","North_America",2012,7064
"114","North_America",2013,7201
"115","North_America",2014,7266
"116","North_America",2015,7307
"117","North_America",2016,7333
"118","North_America",2017,7361
"119","North_America",2018,7347
"120","North_America",2019,7337
"121","Oceania",1990,1662
"122","Oceania",1991,1677
"123","Oceania",1992,1681
"124","Oceania",1993,1660
"125","Oceania",1994,1638
"126","Oceania",1995,1626
"127","Oceania",1996,1622
"128","Oceania",1997,1620
"129","Oceania",1998,1644
"130","Oceania",1999,1656
"131","Oceania",2000,1643
"132","Oceania",2001,1649
"133","Oceania",2002,1672
"134","Oceania",2003,1693
"135","Oceania",2004,1719
"136","Oceania",2005,1750
"137","Oceania",2006,1778
"138","Oceania",2007,1803
"139","Oceania",2008,1812
"140","Oceania",2009,1810
"141","Oceania",2010,1842
"142","Oceania",2011,1837
"143","Oceania",2012,1839
"144","Oceania",2013,1843
"145","Oceania",2014,1857
"146","Oceania",2015,1877
"147","Oceania",2016,1867
"148","Oceania",2017,1876
"149","Oceania",2018,1884
"150","Oceania",2019,1890
"151","South_America",1990,31069
"152","South_America",1991,29642
"153","South_America",1992,29123
"154","South_America",1993,28409
"155","South_America",1994,27297
"156","South_America",1995,26500
"157","South_America",1996,25394
"158","South_America",1997,23886
"159","South_America",1998,22857
"160","South_America",1999,21731
"161","South_America",2000,20641
"162","South_America",2001,19564
"163","South_America",2002,18936
"164","South_America",2003,18246
"165","South_America",2004,17527
"166","South_America",2005,16783
"167","South_America",2006,16193
"168","South_America",2007,15648
"169","South_America",2008,15370
"170","South_America",2009,15472
"171","South_America",2010,15158
"172","South_America",2011,14672
"173","South_America",2012,14290
"174","South_America",2013,14056
"175","South_America",2014,13921
"176","South_America",2015,13708
"177","South_America",2016,13481
"178","South_America",2017,13287
"179","South_America",2018,13087
"180","South_America",2019,12999
